Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
KOPN,Kopin Corporation,1.44,$122.27M,1992,Technology,Semiconductors,https://old.nasdaq.com/symbol/kopn,
KRNT,Kornit Digital Ltd.,46.85,$1.91B,2015,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/krnt,
KOSS,Koss Corporation,1.38,$10.22M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/koss,
KWEB,KraneShares Trust KraneShares CSI China Internet ETF,57.04,$193.94M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kweb,
KTOS,"Kratos Defense & Security Solutions, Inc.",16.97,$1.82B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ktos,
KRYS,"Krystal Biotech, Inc.",44.97,$884.15M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/krys,
KLIC,"Kulicke and Soffa Industries, Inc.",22.35,$1.4B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/klic,
KURA,"Kura Oncology, Inc.",16.3,$911.2M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kura,
KRUS,"Kura Sushi USA, Inc.",16.07,$134.05M,2019,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/krus,
KVHI,"KVH Industries, Inc.",8.68,$156.18M,1996,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/kvhi,
FSTR,L.B. Foster Company,13.08,$140.04M,n/a,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/fstr,
LJPC,La Jolla Pharmaceutical Company,5.08,$138.68M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/ljpc,
LSBK,"Lake Shore Bancorp, Inc.",12.25,$72.11M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/lsbk,
LBAI,"Lakeland Bancorp, Inc.",10.705,$540.2M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/lbai,
LKFN,Lakeland Financial Corporation,42.2,$1.08B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/lkfn,
LAKE,"Lakeland Industries, Inc.",19.7,$157.13M,1986,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/lake,
LRCX,Lam Research Corporation,284.52,$41.3B,1984,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lrcx,
LAMR,Lamar Advertising Company,70.93,$7.15B,1996,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/lamr,
