userId,stockSymbol,stockName,fairValue,investmentName,starRating,analystRating,Date,comment
hankmoody789,KERNW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,AKRO,Akero Therapeutics Inc,26.26,-,-,-,2020-06-22,
hankmoody789,AKER,Akers Biosciences Inc,5.69,-,-,-,2020-06-22,
hankmoody789,AKTS,Akoustis Technologies Inc,7.8,-,-,-,2020-06-22,
hankmoody789,ALRM,Alarm.com Holdings Inc,51.01,-,-,-,2020-06-22,
hankmoody789,ALSK,Alaska Communications Systems Group Inc,3.06,-,-,-,2020-06-22,
hankmoody789,ALAC,Alberton Acquisition Corp,10.23,-,-,-,2020-06-22,
hankmoody789,ALACR,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,ALACW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,ALBO,Albireo Pharma Inc,30.15,-,-,-,2020-06-22,
hankmoody789,ALDX,Aldeyra Therapeutics Inc,5.73,-,-,-,2020-06-22,
hankmoody789,ALEC,Alector Inc,27.58,-,-,-,2020-06-22,
hankmoody789,ALRS,Alerus Financial Corp,21.08,-,-,-,2020-06-22,
hankmoody789,ALXN,Alexion Pharmaceuticals Inc,155,-,-,-,2020-06-22,
hankmoody789,ALCO,Alico Inc,35.21,-,-,-,2020-06-22,
hankmoody789,ALYA,Alithya Group Inc,2.36,-,-,-,2020-06-22,
hankmoody789,ALGN,Align Technology Inc,175,-,-,-,2020-06-22,
hankmoody789,ALIM,Alimera Sciences Inc,9.46,-,-,-,2020-06-22,
hankmoody789,ALYA,Alithya Group Inc,2.36,-,-,-,2020-06-22,
hankmoody789,ALJJ,ALJ Regional Holdings Inc,1.35,-,-,-,2020-06-22,
hankmoody789,ALKS,Alkermes PLC,19.49,-,-,-,2020-06-22,
hankmoody789,ALLK,Allakos Inc,67.3,-,-,-,2020-06-22,
hankmoody789,ABTX,Allegiance Bancshares Inc,27.45,-,-,-,2020-06-22,
hankmoody789,ALGT,Allegiant Travel Co,132.95,-,-,-,2020-06-22,
hankmoody789,ALNA,Allena Pharmaceuticals Inc,1.85,-,-,-,2020-06-22,
hankmoody789,ARLP,Alliance Resource Partners LP,5.07,-,-,-,2020-06-22,
hankmoody789,LNT,Alliant Energy Corp,47,-,-,-,2020-06-22,
hankmoody789,AESE,Allied Esports Entertainment Inc Ordinary Shares,4.36,-,-,-,2020-06-22,
hankmoody789,AHPI,Allied Healthcare Products Inc,17.53,-,-,-,2020-06-22,
hankmoody789,AMOT,Allied Motion Technologies Inc,40.89,-,-,-,2020-06-22,
hankmoody789,ALLO,Allogene Therapeutics Inc,33.83,-,-,-,2020-06-22,
hankmoody789,ALLT,Allot Ltd,11.53,-,-,-,2020-06-22,
hankmoody789,MDRX,Allscripts Healthcare Solutions Inc,4.52,-,-,-,2020-06-22,
hankmoody789,ALNY,Alnylam Pharmaceuticals Inc,142,-,-,-,2020-06-22,
hankmoody789,AOSL,Alpha &  Omega Semiconductor Ltd,14.32,-,-,-,2020-06-22,
hankmoody789,GOOG,Alphabet Inc Class C,1400,-,-,-,2020-06-22,
hankmoody789,GOOGL,Alphabet Inc A,1400,-,-,-,2020-06-22,
hankmoody789,SMCP,-,0,AlphaMark Actively Managed Small Cap ETF,1,-,2020-06-22,
hankmoody789,ATEC,Alphatec Holdings Inc,7.21,-,-,-,2020-06-22,
hankmoody789,ALPN,Alpine Immune Sciences Inc,12.3,-,-,-,2020-06-22,
hankmoody789,ALTR,Altair Engineering Inc Class A,34.83,-,-,-,2020-06-22,
hankmoody789,ATHE,Alterity Therapeutics Ltd ADR,0.83,-,-,-,2020-06-22,
hankmoody789,ALT,Altimmune Inc,8.06,-,-,-,2020-06-22,
hankmoody789,ASPS,Altisource Portfolio Solutions SA,17.33,-,-,-,2020-06-22,
hankmoody789,AIMC,Altra Industrial Motion Corp,41.89,-,-,-,2020-06-22,
hankmoody789,ALTM,Altus Midstream Co Class A,1.27,-,-,-,2020-06-22,
hankmoody789,AMAG,AMAG Pharmaceuticals Inc,12.82,-,-,-,2020-06-22,
hankmoody789,AMAL,Amalgamated Bank Ordinary Shares Class A,14.69,-,-,-,2020-06-22,
hankmoody789,AMRN,Amarin Corp PLC ADR,8.7,-,-,-,2020-06-22,
hankmoody789,AMRK,A-Mark Precious Metals Inc,21.73,-,-,-,2020-06-22,
hankmoody789,AMZN,Amazon.com Inc,2500,-,-,-,2020-06-22,
hankmoody789,AMBC,Ambac Financial Group Inc,17.5,-,-,-,2020-06-22,
hankmoody789,AMBA,Ambarella Inc,51.2,-,-,-,2020-06-22,
