Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
NHTC,Natural Health Trends Corp.,6.69,$76.42M,n/a,Consumer Durables,Consumer Specialties,https://old.nasdaq.com/symbol/nhtc
NATR,"Nature&#39;s Sunshine Products, Inc.",8.99,$175.06M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/natr
NTUS,Natus Medical Incorporated,21.98,$742.97M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ntus
JSM,Navient Corporation,20.56,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jsm
NAVI,Navient Corporation,7.75,$1.5B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/navi
NMCI,Navios Maritime Containers L.P.,0.7838,$27.12M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/nmci
NBTB,NBT Bancorp Inc.,30.3,$1.32B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/nbtb
NCSM,"NCS Multistage Holdings, Inc.",0.6057,$28.57M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ncsm
NKTR,Nektar Therapeutics,20.49,$3.65B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nktr
NMRD,Nemaura Medical Inc.,7.75,$161.26M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nmrd
NEOG,Neogen Corporation,68.6,$3.63B,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/neog
NEO,"NeoGenomics, Inc.",27.02,$2.97B,n/a,Health Care,Precision Instruments,https://old.nasdaq.com/symbol/neo
NLTX,"Neoleukin Therapeutics, Inc.",12.8,$492.61M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nltx
NEON,Neonode Inc.,5.07,$46.5M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/neon
NEOS,"Neos Therapeutics, Inc.",0.769,$38.26M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/neos
NVCN,Neovasc Inc.,2.47,$30.4M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nvcn
NEPH,"Nephros, Inc.",7.98,$72.05M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/neph
NEPT,Neptune Wellness Solutions Inc.,2.61,$247.83M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nept
UEPS,"Net 1 UEPS Technologies, Inc.",3.37,$192.49M,2005,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ueps
NETE,"Net Element, Inc.",4.6,$19.3M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/nete
NTAP,"NetApp, Inc.",42.46,$9.39B,1995,Technology,Electronic Components,https://old.nasdaq.com/symbol/ntap
NTES,"NetEase, Inc.",409.48,$53.36B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ntes
NFIN,Netfin Acquisition Corp.,10.05,$324.68M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/nfin
NFINU,Netfin Acquisition Corp.,10.4,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/nfinu
NFINW,Netfin Acquisition Corp.,0.4751,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/nfinw
NFLX,"Netflix, Inc.",418.07,$183.87B,2002,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/nflx
NTGR,"NETGEAR, Inc.",23.99,$705.76M,2003,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ntgr
NTCT,"NetScout Systems, Inc.",25.3,$1.83B,1999,Technology,EDP Services,https://old.nasdaq.com/symbol/ntct
NTWK,NetSol Technologies Inc.,3.145,$37.86M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ntwk
NBSE,"NeuBase Therapeutics, Inc. ",8.44,$195.12M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nbse
